WORDS,X,Y,COLOR
say,1.5712335471241277,1.2907010853622762,green
trump,1.5557787909229066,0.7665982203969883,green
believe,0.8912242742704067,0.529969688080571,green
real,0.8409963166164387,0.40481079495453215,green
good,0.7418282976586045,0.3539649946220788,green
new,0.6027354918476161,0.3428832176265441,green
global,0.3979599721814388,0.2522733939571722,green
fight,0.3966720758313371,0.23076170920113426,green
great,0.3850810086804214,0.2099018936801278,green
warm,0.3812173196301162,0.16166357028780026,green
say,2.383532602580729,1.3492228595203424,blue
go,2.1733079879431743,0.9881422924901186,blue
trump,1.3424766236150343,0.8410353948111385,blue
think,0.647254940278444,0.789770869862403,blue
believe,0.6241598417689661,0.5341912092484175,blue
global,0.5003938010386872,0.4190317691461856,blue
world,0.49269543486886125,0.4034295224226574,blue
fight,0.462494152202621,0.23997741389045735,blue
warm,0.3517561157597399,0.22734702368569648,blue
shes,0.36241539199488354,0.0,blue
say,1.9378617945007237,1.326975476839237,red
people,1.8858538350217076,0.7438692098092643,red
trump,1.0288531114327062,0.7029972752043596,red
get,0.6851483357452967,0.667574931880109,red
make,0.4680716353111433,0.4822888283378747,red
world,0.4477206946454414,0.45504087193460496,red
believe,0.3979739507959479,0.3896457765667575,red
global,0.3979739507959479,0.2970027247956403,red
warm,0.38666787264833574,0.22343324250681199,red
due,0.3663169319826339,0.024523160762942777,red
