WORDS,X,Y,COLOR
say,3.387549505902257,1.156340247552882,green
trump,3.3375629638174336,0.7486336557105283,green
like,0.8238166647441073,0.6789252010708156,green
make,0.5748452339754682,0.6232755944256668,green
believe,0.5017879801591879,0.4750719051496388,green
global,0.452762717729842,0.3479564878654568,green
new,0.44603376014150037,0.2975789492182695,green
real,0.40373745530049604,0.29113531055409436,green
warm,0.37489906563617487,0.22435578257991576,green
help,0.36047987080401434,0.17690717059826255,green
say,1.3999592640369338,1.444427874475383,blue
go,0.7794147599972843,0.9863865868467585,blue
trump,0.6354810238305384,0.8543002620422251,blue
people,0.5798085409735895,0.6583011994290462,blue
believe,0.46438997895308576,0.5879971878395365,blue
world,0.44537986285559095,0.35365048254117043,blue
new,0.4345169393713083,0.3387375103858199,blue
real,0.41007536153167223,0.3302158120113338,blue
global,0.3856337836920361,0.21730330854939386,blue
warm,0.3516871478036527,0.10226038049383243,blue
say,1.8661996745206255,1.523572876479435,red
go,1.714073445128423,0.9369366003120008,red
think,1.3496780584447747,0.8780861458557135,red
trump,0.6766079388664827,0.8285770333766148,red
believe,0.6438831104507181,0.5492709082586805,red
fight,0.6120427368570014,0.3596416661217551,red
global,0.5943536404160475,0.3400248479696593,red
warm,0.5253661642963278,0.19149751053236308,red
deny,0.43072949833722496,0.1709465581825485,red
shes,0.5368640769829477,0.0,red
