pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
noaa,17,monitor,12,oklahoma,19
confirm,17,oppose,12,system,19
guide,17,deaths,12,predictions,19
friend,17,ivanka,12,charles,19
disappear,17,insurance,12,theresa,19
investment,17,narendramodi,12,leak,19
ji,17,trudeau,12,plastic,19
tv,17,stance,12,scotlands,19
phrase,17,mislead,12,drink,18
dicaprios,16,walk,12,pro,18
beef,16,planets,12,position,18
cancel,16,wouldnt,12,often,18
contribution,16,driver,12,shame,18
doc,16,coast,12,oppose,18
explore,16,schwarzenegger,12,former,18
texas,16,god,12,cnnpolitics,18
movement,16,insideclimate,12,petition,18
healthcare,16,corporate,12,unep,18
recommend,16,f,12,renewables,18
movie,16,board,12,politics,18
weeks,16,rebuke,12,voter,18
press,16,investigation,12,better,18
ireland,16,unchecked,12,towards,18
except,16,art,12,five,18
hillaryclinton,16,ramp,12,propaganda,18
class,16,bonn,12,development,18
among,16,reach,12,alarmists,18
opinion,16,relocate,12,learn,18
sustainability,16,stream,11,sorry,18
stories,16,single,11,local,18
supporters,16,pipeline,11,large,18
antarctica,16,globalgoals,11,de,18
hero,16,isis,11,antarctica,18
skeptics,16,cooperation,11,infrastructure,18
coastal,16,massive,11,huge,18
usa,16,worldwide,11,decision,18
decide,16,november,11,appear,18
corporate,16,candidate,11,cry,18
africa,16,document,11,pakistan,18
strengthen,16,preserve,11,stories,18
small,16,ft,11,nyt,18
counter,16,latimes,11,stress,18
host,16,figure,11,sick,18
attend,16,price,11,rick,18
budget,16,chair,11,collapse,18
grind,16,france,11,events,18
sensanders,16,former,11,current,18
approve,16,number,11,responsible,18
politickels,16,malcolm,11,uproar,18
trumpn,16,feature,11,mitigate,18
tool,16,b,11,europe,17
wouldnt,16,dismantle,11,existential,17
announce,16,mostly,11,endanger,17
jam,16,religious,11,pablorodas,17
initiative,16,feds,11,womens,17
forget,16,skeptic,11,animal,17
el,16,prevent,11,australian,17
apply,16,convince,11,mistake,17
document,16,climatechangeisreal,11,highlight,17
europe,16,regional,11,ap,17
approach,16,louisiana,11,imagine,17
rather,16,historic,11,thinkprogress,17
smarter,16,whitehouse,11,short,17
communicate,16,garage,11,experience,17
imagine,16,community,11,pacific,17
b,16,bank,11,malcolm,17
exacerbate,16,nation,11,spread,17
january,16,greenland,11,double,17
pattern,15,aid,11,disastrous,17
fish,15,decline,11,lol,17
endorse,15,octopus,11,pull,17
globe,15,canary,11,senate,17
putin,15,el,11,silver,17
christmas,15,yes,11,measure,17
citizens,15,beyond,11,mother,17
justintrudeau,15,mins,11,awful,17
p,15,nyt,11,wire,17
vegan,15,phrase,11,americas,17
slate,15,southern,11,generation,17
spread,15,billnye,11,el,17
wealth,15,body,11,ajenglish,17
monitor,15,urban,11,freeze,17
chicago,15,common,11,tear,17
lakes,15,cabinet,11,insideclimate,17
transition,15,simple,11,screw,17
ideas,15,employees,11,defend,17
moment,15,wildfires,11,pass,17
respond,15,alarm,11,turnbull,17
sit,15,apparently,11,declare,17
letter,15,truth,11,pretend,17
greenpeace,15,fox,11,democrats,17
normal,15,ancient,11,population,17
fair,15,expert,11,exxonmobil,17
