pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
concept,64,kid,42,fossil,72
house,64,fossil,42,seriously,72
around,63,city,42,terrorism,71
http,63,point,41,post,71
put,63,end,41,claim,71
point,63,researchers,41,stake,70
penguin,63,many,41,sue,70
chief,63,level,41,things,69
next,62,team,41,first,69
evidence,62,https,41,next,68
major,62,reduce,41,suffer,68
reason,62,map,41,cost,68
clear,62,pollution,41,food,68
turn,62,primary,41,yet,67
article,62,territory,41,become,67
things,62,species,40,https,67
cool,61,around,40,care,67
actually,61,america,40,na,67
power,61,environmental,40,policy,67
try,60,rex,40,catastrophic,67
heat,60,uncharted,40,species,67
lot,60,latest,39,put,67
discuss,60,check,39,scientific,67
climatecentral,59,bear,39,independent,67
project,59,might,39,humans,65
htt,59,women,39,air,64
sure,59,anything,39,melt,64
public,58,policies,39,without,64
everyone,58,emissions,39,nytimes,64
continue,58,money,39,last,63
every,58,federal,39,htt,63
scientist,58,alias,39,winter,63
reform,58,beforetheflood,38,nothing,63
scientific,58,polar,38,heres,63
company,58,media,38,imvotingbecause,63
urgent,57,green,38,snow,63
nytimes,57,less,38,vulnerable,62
become,57,result,38,mention,62
manufacture,57,climatecentral,38,drive,62
defense,57,deny,38,listen,62
scott,57,potus,38,al,62
step,56,park,38,reality,62
true,56,http,37,extreme,62
since,56,focus,37,guy,61
worlds,56,likely,37,break,61
without,56,business,37,shit,61
plant,56,open,37,gop,61
accept,55,political,37,experts,61
fossil,55,begin,37,kid,61
political,55,hoax,37,u,61
hes,54,na,37,danger,61
growth,54,continue,37,americans,61
pollution,54,hurricanes,37,disasters,60
grow,54,article,36,pollution,60
efforts,54,heat,36,tax,60
nuclear,54,never,36,serious,60
claim,54,line,36,hell,60
learn,54,prove,36,scam,60
ht,54,executive,36,policies,60
less,54,hit,35,ever,60
responsible,54,parisagreement,35,part,59
nothing,53,home,35,pope,59
slow,53,washingtonpost,35,exxon,59
lol,53,consider,35,job,58
fact,53,things,35,attack,58
tax,53,without,35,point,58
tweet,53,francis,35,pick,58
wow,53,bleach,35,loss,58
something,52,plant,34,dioxide,58
never,52,mitigate,34,good,57
countries,52,drive,34,around,57
already,52,bring,34,stupid,57
equality,52,american,34,gore,57
contributor,52,biggest,34,degrees,56
oh,52,visit,34,meet,56
guy,51,set,34,reject,56
leaders,51,hes,34,video,56
immigration,51,ago,34,facts,56
commit,51,response,33,theyre,56
money,51,reality,33,administration,56
launch,51,every,33,hit,56
