neu_words,neu_counts,pos_words,pos_counts,neg_words,neg_counts
juan,24,oklahoma,26,exactly,7
admit,23,platform,26,pump,7
tie,23,mike,26,defense,7
capitalism,23,cancel,26,topic,7
encyclical,23,prize,26,pollution,7
connect,23,agencies,26,somehow,7
benefit,23,macron,26,outside,7
large,23,maximize,26,withdraw,7
price,23,struggle,25,assume,7
drill,23,signal,25,simple,7
director,23,essentially,25,will,7
urge,23,damage,25,complex,7
stance,23,woman,25,walk,7
wealth,23,december,25,particularly,7
reference,23,final,25,statements,7
ones,23,market,25,kind,7
hottest,23,temperature,25,sanction,7
growth,23,town,25,connect,7
commitment,23,comprehensive,25,segment,7
equal,23,opportunities,25,catch,7
treaty,23,warmer,25,except,7
town,23,sustainable,25,naval,7
goals,23,small,25,recognize,7
mine,23,often,25,charge,7
supreme,23,nbc,25,kevin,7
require,23,occur,25,distraction,7
will,23,cruz,25,fault,7
door,23,successful,25,ridiculous,7
powerful,23,negotiate,25,enemy,7
simply,23,influence,25,thoughts,7
exxonmobil,23,brian,25,manufacture,7
bret,23,confirmation,25,social,7
argue,22,serve,25,weird,7
nature,22,fine,25,december,7
gop,22,prepare,24,interview,7
globe,22,safety,24,milk,7
food,22,piece,24,resignation,7
certain,22,literally,24,oklahoma,6
provide,22,inside,24,marriage,6
service,22,confront,24,monday,6
defeat,22,anymore,24,kerry,6
rather,22,wake,24,celsius,6
trouble,22,aim,24,prevent,6
welcome,22,shift,24,heavy,6
seven,22,expert,24,deliver,6
huge,22,short,24,ohio,6
near,22,religion,24,historic,6
politicians,22,contrast,24,gop,6
cap,22,thoughts,24,dam,6
priorities,22,manufacture,24,mine,6
situation,22,streets,24,aid,6
joe,22,compare,24,severe,6
ability,22,sunday,24,better,6
progressive,22,european,24,officer,6
stories,22,nato,24,turkey,6
attempt,22,agreements,24,vulnerabilities,6
meanwhile,22,invent,24,possibly,6
propose,22,ensure,24,arrive,6
low,22,nobel,24,gather,6
great,22,settle,24,pattern,6
michael,22,rex,24,nearly,6
fast,22,revolution,24,adapt,6
extent,22,irma,24,representatives,6
book,22,glaciers,23,rank,6
solutions,22,union,23,homeland,6
skeptical,22,situation,23,cleaner,6
david,22,vladimir,23,drop,6
jam,22,encyclical,23,ill,6
vow,22,announcement,23,stake,6
steve,22,monday,23,pressure,6
rick,22,produce,23,quite,6
harvey,22,language,23,within,6
