pos_words,pos_counts,neg_words,neg_counts,neu_words,neu_counts
maybe,130,blame,83,democrats,37
francis,129,ahead,83,record,37
run,129,congress,83,stand,37
democratic,129,russia,82,sort,37
major,129,act,82,florida,37
leader,128,kill,81,away,37
free,128,conference,81,problem,36
americans,127,ago,81,biggest,36
set,127,senator,81,sit,36
certainly,127,women,81,build,36
tonight,127,might,80,everything,36
away,126,keep,80,future,36
public,126,record,79,bill,36
ahead,125,emissions,79,policies,36
level,125,worse,79,reason,35
head,125,deniers,79,isis,35
love,124,decision,79,since,35
might,122,threats,78,never,35
rise,122,former,77,sea,35
stay,121,fossil,76,weather,34
different,121,do,76,become,34
sort,120,agenda,76,americans,34
record,120,oil,76,message,34
ago,119,place,76,francis,34
storm,119,mention,75,across,34
pretty,119,yesterday,74,chinese,34
welcome,118,far,74,good,34
always,117,become,74,watch,34
expect,117,message,74,trip,33
listen,117,scott,74,agenda,33
russia,117,francis,73,home,33
earth,117,since,73,stay,33
leadership,116,risk,73,deny,33
strong,116,air,73,three,33
open,116,good,73,flood,33
build,115,poor,72,environment,33
alaska,115,join,72,ahead,33
spend,115,spend,72,fossil,32
speech,114,fire,72,decision,32
everything,114,media,72,combat,32
forward,114,raise,71,party,32
word,114,everything,71,reality,32
reason,114,affect,71,income,32
gas,113,pipeline,70,leader,32
washington,113,little,70,industry,32
conference,113,reason,69,yesterday,31
governor,113,study,69,almost,31
coal,113,california,69,inequality,31
become,112,health,69,enough,31
far,112,governor,69,push,31
example,112,storm,69,whole,31
mind,112,scientific,69,help,31
inequality,111,lose,68,maybe,31
discuss,111,cut,68,tax,31
order,111,top,68,women,31
side,111,help,68,pull,31
since,110,company,68,couple,30
weather,110,general,68,later,30
promise,110,push,67,mention,30
system,109,public,67,begin,30
department,108,military,67,act,30
ever,108,nations,67,spend,30
yeah,107,sign,67,break,30
affect,106,regulations,67,coal,30
base,106,keystone,66,guy,30
anything,106,step,66,regulations,30
pruitt,106,threaten,65,community,29
