pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
maybe,130,democrats,37,blame,83
francis,129,record,37,ahead,83
run,129,stand,37,congress,83
democratic,129,sort,37,russia,82
major,129,florida,37,act,82
leader,128,away,37,kill,81
free,128,problem,36,conference,81
americans,127,biggest,36,ago,81
set,127,sit,36,senator,81
certainly,127,build,36,women,81
tonight,127,everything,36,might,80
away,126,future,36,keep,80
public,126,bill,36,record,79
ahead,125,policies,36,emissions,79
level,125,reason,35,worse,79
head,125,isis,35,deniers,79
love,124,since,35,decision,79
might,122,never,35,threats,78
rise,122,sea,35,former,77
stay,121,weather,34,fossil,76
different,121,become,34,do,76
sort,120,americans,34,agenda,76
record,120,message,34,oil,76
ago,119,francis,34,place,76
storm,119,across,34,mention,75
pretty,119,chinese,34,yesterday,74
welcome,118,good,34,far,74
always,117,watch,34,become,74
expect,117,trip,33,message,74
listen,117,agenda,33,scott,74
russia,117,home,33,francis,73
earth,117,stay,33,since,73
leadership,116,deny,33,risk,73
strong,116,three,33,air,73
open,116,flood,33,good,73
build,115,environment,33,poor,72
alaska,115,ahead,33,join,72
spend,115,fossil,32,spend,72
speech,114,decision,32,fire,72
everything,114,combat,32,media,72
forward,114,party,32,raise,71
word,114,reality,32,everything,71
reason,114,income,32,affect,71
gas,113,leader,32,pipeline,70
washington,113,industry,32,little,70
conference,113,yesterday,31,reason,69
governor,113,almost,31,study,69
coal,113,inequality,31,california,69
become,112,enough,31,health,69
far,112,push,31,governor,69
example,112,whole,31,storm,69
mind,112,help,31,scientific,69
inequality,111,maybe,31,lose,68
discuss,111,tax,31,cut,68
order,111,women,31,top,68
side,111,pull,31,help,68
since,110,couple,30,company,68
weather,110,later,30,general,68
promise,110,mention,30,push,67
system,109,begin,30,public,67
department,108,act,30,military,67
ever,108,spend,30,nations,67
yeah,107,break,30,sign,67
affect,106,coal,30,regulations,67
base,106,guy,30,keystone,66
anything,106,regulations,30,step,66
pruitt,106,community,29,threaten,65
fossil,105,challenge,29,system,65
mention,105,night,29,past,65
voters,105,press,29,build,65
name,104,russia,29,forward,65
women,103,serious,29,coal,64
true,103,interest,29,open,64
politics,102,key,29,feel,64
never,102,plus,29,john,64
act,101,miami,29,anything,64
general,100,hurricane,29,activity,63
company,100,read,29,nothing,63
long,99,tillerson,29,interest,63
income,99,example,29,florida,63
presidential,99,oppose,28,someone,63
turn,99,cnn,28,refuse,62
hold,99,gas,28,line,62
save,99,long,28,remember,62
able,98,vice,28,press,62
already,98,protection,28,sort,62
begin,97,anything,28,department,62
tweet,97,front,28,across,61
days,96,ivanka,28,challenge,61
little,96,everybody,27,evidence,61
night,96,democratic,27,tax,61
life,96,morning,27,matter,61
reform,95,generation,27,gas,61
watch,95,past,27,candidate,61
candidate,95,economic,27,quote,60
bite,95,life,27,march,60
industry,95,thank,27,discuss,60
election,95,turn,27,agreement,60
share,94,wall,27,less,60
huge,94,case,27,tonight,60
justice,94,without,26,nation,60
respect,94,city,26,economic,59
college,93,protect,26,reject,59
oil,93,wo,26,longer,59
john,93,public,26,community,59
reach,93,oil,26,pull,59
conversation,93,voters,26,sure,58
whole,93,weeks,25,destroy,58
green,93,idea,25,never,58
activity,92,humans,25,yet,58
policies,92,story,25,iran,58
moment,91,group,25,die,57
win,91,health,25,contribute,57
pay,90,reduce,25,idea,57
idea,90,john,25,candidates,57
iran,90,able,25,group,57
grow,90,affect,25,city,57
increase,89,children,25,control,57
home,89,forward,25,couple,57
across,89,historic,25,alaska,57
past,89,send,25,visit,57
obviously,89,quote,25,agency,57
community,88,department,25,flood,56
commit,88,scientific,24,probably,56
hard,88,temperatures,24,almost,56
nuclear,88,days,24,dangerous,56
person,88,merkel,24,everybody,56
florida,88,reporters,24,base,56
fund,87,earlier,24,days,55
young,87,thousands,24,federal,55
wall,86,tomorrow,24,worst,55
three,86,stop,24,senate,55
reduce,85,earth,24,front,55
opportunity,85,politics,24,mind,55
social,85,perhaps,24,always,55
press,85,care,24,fund,55
okay,85,company,24,stay,55
chris,85,role,24,clear,54
biggest,85,control,24,three,54
nation,85,roll,24,north,54
case,85,base,24,earth,54
absolutely,84,administrator,24,name,54
weeks,84,putin,24,claim,54
decide,83,always,24,without,53
scientist,83,nothing,23,example,53
yesterday,83,follow,23,police,53
sea,83,fund,23,hurt,53
especially,82,poll,23,argument,53
enough,82,nations,23,protect,53
cut,82,moment,23,list,53
rest,82,least,23,suggest,53
california,81,suggest,23,middle,53
saw,80,saw,23,pick,52
greatest,80,essentially,23,set,52
line,80,facts,23,leadership,52
history,80,touch,22,home,52
program,80,grind,22,industry,52
withdraw,80,explain,22,saw,52
foreign,79,release,22,bigger,52
solution,79,agree,22,order,52
serious,79,six,22,wage,52
executive,78,hour,22,efforts,51
millions,78,risk,22,ever,51
trip,77,angela,22,children,51
almost,77,claim,21,night,51
deny,77,bite,21,among,51
hand,77,announce,21,protest,51
middle,77,probably,21,wall,51
everyone,77,ever,21,drought,50
story,77,among,21,morning,50
list,76,pass,21,scientist,50
though,76,defend,21,enough,50
second,76,gun,21,thousands,50
hour,76,high,21,reduce,50
kid,76,conservatives,21,begin,50
stop,76,ally,21,moment,50
least,76,chris,21,extreme,50
scientific,75,father,21,doubt,50
cnn,75,business,21,kid,50
discussion,75,efforts,21,thank,50
later,75,several,21,obviously,50
announce,75,walk,21,coast,49
girl,75,settle,20,play,49
someone,75,foreign,20,leader,49
elect,75,somebody,20,key,49
isis,74,raise,20,watch,49
clearly,74,events,20,absolutely,49
education,74,name,20,life,48
comment,73,system,20,battle,48
wage,72,late,20,response,48
key,72,rest,20,fear,48
grind,72,officials,20,business,48
special,72,either,20,comment,48
military,72,close,20,officials,48
hop,72,learn,20,relate,48
tackle,72,gather,20,team,48
city,72,senate,20,sit,47
folks,72,might,20,high,47
earlier,71,program,20,read,47
yet,71,wonder,20,cost,47
visit,71,extreme,19,long,47
lose,71,mark,19,particularly,47
office,71,scientist,19,great,46
nothing,71,hard,19,wo,46
behind,71,detail,19,politics,46
surprise,70,topic,19,entire,46
everybody,70,second,19,arctic,46
humans,70,though,19,especially,46
contribute,70,reaction,19,support,46
tomorrow,69,syria,19,earlier,46
quote,69,aim,19,grind,45
applause,69,middle,19,pollution,45
vice,69,yet,19,whole,45
sound,68,line,19,ban,45
scott,68,history,19,party,45
senate,68,acknowledge,19,vice,45
agency,68,create,19,disaster,44
couple,67,election,19,oppose,44
group,67,prepare,19,hold,44
children,67,ice,19,others,44
court,67,denier,19,millions,44
north,67,pick,19,story,44
remember,67,million,19,involve,44
progress,66,greg,19,urgent,44
study,66,worry,18,cnn,44
hurricane,66,else,18,person,44
single,66,candidates,18,movement,44
tillerson,66,street,18,else,43
legislation,65,sense,18,role,43
significant,65,moral,18,turn,43
probably,65,develop,18,able,43
perhaps,65,center,18,ways,43
march,65,information,18,data,43
write,64,support,18,case,43
pollution,64,nation,18,information,43
interview,64,travel,18,consider,43
somebody,64,candidate,18,chris,43
school,64,someone,18,lie,42
poll,63,marriage,18,exactly,42
appreciate,63,massive,18,devastate,42
effort,63,result,18,plant,42
approach,63,comment,18,hit,42
acknowledge,63,absolutely,18,directly,42
legacy,63,relate,18,conversation,42
rule,63,difference,18,basically,42
pick,63,board,18,difficult,42
sit,62,present,18,roll,42
flood,62,consider,18,greg,42
