WORDS,X,Y,COLOR
global,3.3329234959757126,0.0,green
warm,3.2837430130612013,0.0,green
amp,0.6015151371851739,0.0,green
us,0.4653230306526817,0.0,green
believe,0.44546168178336,0.0,green
real,0.4388412321602527,0.0,green
president,0.0,1.243972773866648,green
go,0.0,0.9853712070797287,green
think,0.0,0.9007273533910078,green
issue,0.0,0.8376822761607884,green
get,0.0,0.6666433166380629,green
talk,0.0,0.6269482680116284,green
say,0.810532189571846,1.1523239115967916,green
trump,0.5655755535168774,0.746033413890932,green
like,0.49369638618028433,0.6765670787946715,green
make,0.3972269773864357,0.6211107608606821,green
global,1.8343040945840217,0.0,red
warm,1.684777884030253,0.0,red
fight,0.6650439015908893,0.0,red
amp,0.5311657828392593,0.0,red
shes,0.5276884291054508,0.0,red
president,0.0,1.2147861082128484,red
people,0.0,0.7052094201818453,red
issue,0.0,0.6101878074228648,red
talk,0.0,0.5552243255328663,red
get,0.0,0.5552243255328663,red
say,1.32661044944797,1.5194142197048741,red
go,0.6328783795531601,0.9343791921299747,red
think,0.6015821959488828,0.875689372484722,red
trump,0.58419542727984,0.8263153972276047,red
believe,0.5163870294705729,0.5477716500223581,red
global,0.6261037084604271,0.0,blue
amp,0.5230909188205705,0.0,blue
new,0.4388077272970514,0.0,blue
warm,0.4040241879381388,0.0,blue
us,0.3866324182586825,0.0,blue
president,0.0,1.3810393914927974,blue
think,0.0,0.8456210427909745,blue
issue,0.0,0.7436365954191986,blue
talk,0.0,0.6947690477202226,blue
get,0.0,0.6459015000212467,blue
say,1.3793011184245731,1.4405303191263332,blue
go,0.76791352276984,0.9837249819402542,blue
trump,0.5712527425482956,0.8519950707517104,blue
people,0.457537325413389,0.6565248799558068,blue
believe,0.42810509980200134,0.5864105723877109,blue
