WORDS,X,Y,COLOR
say,3.387940316874327,1.156340247552882,green
trump,3.337948007998769,0.7486336557105283,green
like,0.8239117058914013,0.6789252010708156,green
make,0.5749115520689124,0.6232755944256668,green
believe,0.5018458698661745,0.4750719051496388,green
global,0.452814951545916,0.3479564878654568,green
new,0.44608521765882175,0.2975789492182695,green
real,0.40378403322565753,0.29113531055409436,green
warm,0.37494231656668203,0.22435578257991576,green
help,0.3605214582371943,0.17690717059826255,green
say,1.400130371014178,1.444427874475383,blue
go,0.779510022271715,0.9863865868467585,blue
trump,0.635558694117008,0.8543002620422251,blue
people,0.5798794068118854,0.6583011994290462,blue
believe,0.46444673800858277,0.5879971878395365,blue
world,0.4454342984409799,0.35365048254117043,blue
new,0.43457004725949266,0.3387375103858199,blue
real,0.41012548210114613,0.3302158120113338,blue
global,0.3856809169427997,0.21730330854939386,blue
warm,0.3517301320006519,0.10226038049383243,blue
say,1.8762727086797621,1.523572876479435,red
go,1.7233253599153453,0.9369366003120008,red
think,1.3569631058982545,0.8780861458557135,red
trump,0.6802600104928995,0.8285770333766148,red
believe,0.6473585459331123,0.5492709082586805,red
fight,0.615346310145211,0.3596416661217551,red
global,0.5975617347074882,0.3400248479696593,red
warm,0.528201890500369,0.19149751053236308,red
deny,0.4330544119085517,0.1709465581825485,red
die,0.40815600629573967,0.05324564926997412,red
