pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
maximize,26,large,23,withdraw,7
struggle,25,price,23,assume,7
signal,25,drill,23,simple,7
essentially,25,director,23,will,7
damage,25,urge,23,complex,7
woman,25,stance,23,walk,7
december,25,wealth,23,particularly,7
final,25,reference,23,statements,7
market,25,ones,23,kind,7
temperature,25,hottest,23,sanction,7
town,25,growth,23,connect,7
comprehensive,25,commitment,23,segment,7
opportunities,25,equal,23,catch,7
warmer,25,treaty,23,except,7
sustainable,25,town,23,naval,7
small,25,goals,23,recognize,7
often,25,mine,23,charge,7
nbc,25,supreme,23,kevin,7
occur,25,require,23,distraction,7
cruz,25,will,23,fault,7
successful,25,door,23,ridiculous,7
negotiate,25,powerful,23,enemy,7
influence,25,simply,23,thoughts,7
brian,25,exxonmobil,23,manufacture,7
confirmation,25,bret,23,social,7
serve,25,argue,22,weird,7
fine,25,nature,22,december,7
prepare,24,gop,22,interview,7
safety,24,globe,22,milk,7
piece,24,food,22,resignation,7
literally,24,certain,22,oklahoma,6
inside,24,provide,22,marriage,6
confront,24,service,22,monday,6
anymore,24,defeat,22,kerry,6
wake,24,rather,22,celsius,6
aim,24,trouble,22,prevent,6
shift,24,welcome,22,heavy,6
expert,24,seven,22,deliver,6
short,24,huge,22,ohio,6
religion,24,near,22,historic,6
contrast,24,politicians,22,gop,6
thoughts,24,cap,22,dam,6
manufacture,24,priorities,22,mine,6
streets,24,situation,22,aid,6
compare,24,joe,22,severe,6
sunday,24,ability,22,better,6
european,24,progressive,22,officer,6
nato,24,stories,22,turkey,6
agreements,24,attempt,22,vulnerabilities,6
invent,24,meanwhile,22,possibly,6
ensure,24,propose,22,arrive,6
nobel,24,low,22,gather,6
settle,24,great,22,pattern,6
rex,24,michael,22,nearly,6
revolution,24,fast,22,adapt,6
irma,24,extent,22,representatives,6
glaciers,23,book,22,rank,6
union,23,solutions,22,homeland,6
situation,23,skeptical,22,cleaner,6
vladimir,23,david,22,drop,6
encyclical,23,jam,22,ill,6
announcement,23,vow,22,stake,6
monday,23,steve,22,pressure,6
produce,23,rick,22,quite,6
language,23,harvey,22,within,6
amaze,23,martha,22,impose,6
